OrderID,Product,Quantity,Price,Category,Total,CustomerID,Name,City,Discount Price
447,Mouse,4,690,Aksesuar,2760,C005,Ahmet,Antalya,621.0
264,Laptop,2,3945,Elektronik,7890,C005,Ahmet,Antalya,3550.5
207,Mouse,4,3312,Aksesuar,13248,C002,Ayşe,Ankara,2980.8
64,Tablet,3,904,Elektronik,2712,C003,Mehmet,İzmir,813.6
497,Tablet,4,101,Elektronik,404,C003,Mehmet,İzmir,90.9
326,Telefon,4,4411,Elektronik,17644,C005,Ahmet,Antalya,3969.9
129,Monitor,3,4303,Elektronik,12909,C004,Zeynep,Bursa,3872.7000000000003
416,Tablet,3,3301,Elektronik,9903,C003,Mehmet,İzmir,2970.9
335,Mouse,1,4386,Aksesuar,4386,C005,Ahmet,Antalya,3947.4
98,Monitor,3,248,Elektronik,744,C001,Ali,İstanbul,223.20000000000002
270,Mouse,2,2013,Aksesuar,4026,C001,Ali,İstanbul,1811.7
485,Klavye,3,878,Aksesuar,2634,C004,Zeynep,Bursa,790.2
152,Mouse,1,809,Aksesuar,809,C003,Mehmet,İzmir,728.1
379,Telefon,4,4926,Elektronik,19704,C001,Ali,İstanbul,4433.400000000001
51,Tablet,3,2699,Elektronik,8097,C005,Ahmet,Antalya,2429.1
135,Kulaklık,2,1736,Aksesuar,3472,C004,Zeynep,Bursa,1562.4
93,Mouse,2,2966,Aksesuar,5932,C002,Ayşe,Ankara,2669.4
498,Monitor,2,2948,Elektronik,5896,C004,Zeynep,Bursa,2653.2000000000003
330,Klavye,4,1804,Aksesuar,7216,C002,Ayşe,Ankara,1623.6000000000001
353,Kulaklık,2,1647,Aksesuar,3294,C004,Zeynep,Bursa,1482.3
384,Tablet,2,121,Elektronik,242,C002,Ayşe,Ankara,108.9
45,Monitor,1,2868,Elektronik,2868,C001,Ali,İstanbul,2581.2000000000003
7,Kulaklık,4,2638,Aksesuar,10552,C002,Ayşe,Ankara,2374.2000000000003
308,Monitor,3,3487,Elektronik,10461,C002,Ayşe,Ankara,3138.3
26,Kulaklık,4,3694,Aksesuar,14776,C005,Ahmet,Antalya,3324.6
483,Kulaklık,4,4297,Aksesuar,17188,C001,Ali,İstanbul,3867.3
376,Telefon,1,1987,Elektronik,1987,C003,Mehmet,İzmir,1788.3
317,Mouse,2,2496,Aksesuar,4992,C002,Ayşe,Ankara,2246.4
165,Mouse,4,490,Aksesuar,1960,C003,Mehmet,İzmir,441.0
110,Laptop,2,4601,Elektronik,9202,C002,Ayşe,Ankara,4140.900000000001
150,Telefon,1,1850,Elektronik,1850,C002,Ayşe,Ankara,1665.0
115,Mouse,4,4560,Aksesuar,18240,C003,Mehmet,İzmir,4104.0
306,Laptop,4,4649,Elektronik,18596,C003,Mehmet,İzmir,4184.1
327,Tablet,4,2483,Elektronik,9932,C004,Zeynep,Bursa,2234.7000000000003
59,Telefon,1,541,Elektronik,541,C003,Mehmet,İzmir,486.90000000000003
124,Klavye,4,1739,Aksesuar,6956,C003,Mehmet,İzmir,1565.1000000000001
151,Telefon,1,2521,Elektronik,2521,C003,Mehmet,İzmir,2268.9
382,Monitor,3,985,Elektronik,2955,C002,Ayşe,Ankara,886.5
338,Klavye,2,4895,Aksesuar,9790,C004,Zeynep,Bursa,4405.5
268,Kulaklık,1,2836,Aksesuar,2836,C003,Mehmet,İzmir,2552.4
311,Monitor,3,895,Elektronik,2685,C003,Mehmet,İzmir,805.5
373,Monitor,1,1345,Elektronik,1345,C001,Ali,İstanbul,1210.5
250,Telefon,4,3515,Elektronik,14060,C002,Ayşe,Ankara,3163.5
477,Monitor,2,3666,Elektronik,7332,C002,Ayşe,Ankara,3299.4
